SeqNum,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Flex,Force1,Force2,Force3,Force4,TimestampReception
5399,-0.9579,0.1771,-0.2484,-0.735,-1.365,1.155,459,355,290,405,377,2025-05-27T22:36:40.972345
5400,-0.4441,0.8847,0.1113,0.910,0.595,3.150,457,434,287,408,381,2025-05-27T22:36:40.972345
5401,-0.4499,0.8813,0.1069,1.470,0.140,2.835,417,426,343,400,380,2025-05-27T22:36:40.973341
5402,-0.4480,0.8847,0.1059,2.170,-0.420,2.520,422,439,361,412,387,2025-05-27T22:36:40.973341
5403,-0.4509,0.8857,0.1108,2.660,-1.085,1.960,408,349,359,349,403,2025-05-27T22:36:40.973341
5404,-0.4499,0.8882,0.1078,2.730,-1.680,1.820,418,358,381,394,418,2025-05-27T22:36:40.973341
5405,-0.4480,0.8901,0.1069,3.115,-1.785,1.855,411,398,388,410,409,2025-05-27T22:36:41.200459
5406,-0.4548,0.8891,0.1098,3.500,-1.470,1.960,422,406,384,398,349,2025-05-27T22:36:41.200459
5407,-0.4563,0.8911,0.1176,3.080,-1.190,2.555,417,423,389,338,392,2025-05-27T22:36:41.200459
5408,-0.4646,0.8930,0.1249,2.485,-1.050,3.220,392,362,382,395,388,2025-05-27T22:36:41.200459
5409,-0.4748,0.8916,0.1322,2.030,-1.715,3.885,409,406,394,400,344,2025-05-27T22:36:41.200459
5410,-0.4812,0.8955,0.1420,1.820,-3.570,4.445,395,406,396,388,332,2025-05-27T22:36:41.200459
5411,-0.4856,0.8965,0.1479,1.785,-5.390,5.005,393,424,396,403,362,2025-05-27T22:36:41.200459
5412,-0.4880,0.8979,0.1527,1.785,-7.525,5.495,375,422,383,391,331,2025-05-27T22:36:41.200459
5413,-0.4900,0.8969,0.1474,2.275,-8.855,6.300,328,356,390,386,372,2025-05-27T22:36:41.200459
5414,-0.4831,0.8984,0.1479,2.590,-9.555,7.455,403,387,388,307,374,2025-05-27T22:36:41.200459
5415,-0.4724,0.8960,0.1503,2.485,-9.520,8.680,423,397,386,364,401,2025-05-27T22:36:41.200459
5416,-0.4621,0.8901,0.1503,2.135,-8.540,9.625,415,340,380,400,393,2025-05-27T22:36:41.200459
5417,-0.4543,0.8867,0.1469,1.575,-7.840,10.325,411,389,383,384,349,2025-05-27T22:36:41.200459
5418,-0.4416,0.8843,0.1459,1.190,-8.120,11.235,419,422,393,397,372,2025-05-27T22:36:41.200459
