SeqNum,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Flex,Force1,Force2,Force3,Force4,TimestampReception
1,-0.4016,0.0288,0.9536,0.070,-3.045,0.070,456,434,292,400,384,2025-05-27T22:26:41.023393
2,-0.4041,0.0298,0.9531,0.455,-2.940,0.420,448,426,336,374,395,2025-05-27T22:26:41.023393
3,-0.4016,0.0327,0.9536,0.420,-3.185,0.315,433,427,344,343,388,2025-05-27T22:26:41.023393
4,-0.4021,0.0322,0.9540,0.385,-2.800,0.140,379,417,359,381,400,2025-05-27T22:26:41.023393
5,-0.4002,0.0303,0.9540,0.105,-2.625,0.035,370,347,371,386,395,2025-05-27T22:26:41.023393
6,-0.4016,0.0332,0.9521,-0.105,-2.695,0.070,387,408,371,401,396,2025-05-27T22:26:41.023393
7,-0.4026,0.0317,0.9531,-0.175,-2.730,0.000,392,425,378,416,356,2025-05-27T22:26:41.023393
8,-0.3997,0.0351,0.9516,-0.140,-2.625,0.070,414,433,374,417,380,2025-05-27T22:26:41.023393
9,-0.3943,0.0361,0.9545,-0.175,-2.170,0.070,398,417,373,397,377,2025-05-27T22:26:41.023393
10,-0.3997,0.0317,0.9550,-0.315,-1.820,0.035,400,429,371,382,381,2025-05-27T22:26:41.023393
11,-0.4031,0.0327,0.9623,-0.455,-2.065,0.035,413,396,335,380,379,2025-05-27T22:26:41.023393
12,-0.4085,0.0293,0.9604,-0.420,-2.660,0.315,389,410,356,366,383,2025-05-27T22:26:41.140185
13,-0.4070,0.0288,0.9579,-0.070,-3.080,0.525,409,403,374,340,303,2025-05-27T22:26:41.140185
14,-0.4036,0.0317,0.9555,0.070,-3.255,0.735,426,408,341,369,373,2025-05-27T22:26:41.140185
15,-0.4002,0.0361,0.9540,-0.035,-3.430,0.875,426,396,329,396,353,2025-05-27T22:26:41.140185
16,-0.3992,0.0381,0.9496,-0.245,-3.150,0.770,420,300,361,394,344,2025-05-27T22:26:41.140185
17,-0.3963,0.0371,0.9492,-0.560,-2.870,0.700,345,397,380,307,370,2025-05-27T22:26:41.140185
18,-0.3967,0.0410,0.9506,-0.840,-2.765,0.630,404,358,382,386,404,2025-05-27T22:26:41.140185
19,-0.4021,0.0361,0.9540,-0.910,-2.800,0.630,412,423,376,404,372,2025-05-27T22:26:41.140185
20,-0.4036,0.0312,0.9545,-0.665,-3.150,0.630,389,415,342,349,393,2025-05-27T22:26:41.140185
21,-0.4021,0.0322,0.9575,-0.455,-3.290,0.770,386,426,374,402,399,2025-05-27T22:26:41.370452
22,-0.4026,0.0293,0.9570,-0.210,-3.325,0.735,390,399,369,392,365,2025-05-27T22:26:41.370452
23,-0.4006,0.0273,0.9560,-0.175,-3.220,0.595,423,395,382,384,360,2025-05-27T22:26:41.370452
