SeqNum,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Flex,Force1,Force2,Force3,Force4,TimestampReception
16104,-0.3772,0.8008,0.1874,2.450,-27.965,-32.410,476,387,300,356,372,2025-05-27T22:43:46.052140
16105,-0.4494,0.8067,0.1840,1.750,-59.080,-42.175,437,413,329,401,390,2025-05-27T22:43:46.052140
16106,-0.4821,0.8159,0.1820,0.245,-77.630,-46.900,431,415,342,393,397,2025-05-27T22:43:46.052140
16107,-0.4958,0.8408,0.1771,-2.975,-90.335,-50.015,398,409,322,389,349,2025-05-27T22:43:46.052140
16108,-0.4865,0.8555,0.1566,-7.630,-101.395,-51.835,397,400,357,396,372,2025-05-27T22:43:46.052140
16109,-0.4968,0.8550,0.1391,-11.620,-104.230,-52.710,342,399,362,374,389,2025-05-27T22:43:46.052140
16110,-0.4929,0.8589,0.1537,-15.505,-102.200,-52.255,404,379,360,414,406,2025-05-27T22:43:46.052140
16111,-0.5036,0.8506,0.1698,-19.705,-94.395,-50.050,417,397,372,409,417,2025-05-27T22:43:46.052140
16112,-0.5090,0.8350,0.1889,-22.890,-80.850,-46.935,406,375,384,356,399,2025-05-27T22:43:46.052140
16113,-0.5397,0.8125,0.2094,-23.625,-65.835,-43.120,398,387,385,379,408,2025-05-27T22:43:46.052140
16114,-0.5563,0.7998,0.2440,-23.870,-45.395,-39.060,391,395,367,342,418,2025-05-27T22:43:46.052140
16115,-0.5866,0.7886,0.2816,-24.115,-40.285,-35.245,415,405,381,395,411,2025-05-27T22:43:46.052140
16116,-0.6383,0.7710,0.3050,-23.590,-30.240,-32.060,417,402,352,409,416,2025-05-27T22:43:46.052140
16117,-0.6744,0.7603,0.3274,-22.330,-26.495,-27.440,422,428,368,396,356,2025-05-27T22:43:46.052140
16118,-0.7164,0.7613,0.3460,-21.000,-26.075,-24.185,424,379,368,342,292,2025-05-27T22:43:46.052140
16119,-0.7237,0.7554,0.3670,-20.230,-29.435,-21.000,402,411,374,393,358,2025-05-27T22:43:46.052140
16120,-0.7110,0.7442,0.3719,-19.495,-35.420,-17.570,414,416,376,388,381,2025-05-27T22:43:46.052140
16121,-0.6920,0.7369,0.3699,-18.515,-38.500,-15.155,418,432,374,389,388,2025-05-27T22:43:46.053181
16122,-0.6666,0.7369,0.3694,-17.045,-39.585,-13.930,347,420,340,395,402,2025-05-27T22:43:46.289450
16123,-0.6315,0.7354,0.3772,-15.820,-40.425,-12.040,413,396,360,378,406,2025-05-27T22:43:46.289450
16124,-0.6285,0.7300,0.3806,-14.840,-39.375,-10.745,367,338,362,389,411,2025-05-27T22:43:46.289450
16125,-0.6207,0.7237,0.3933,-13.895,-38.360,-9.730,385,329,366,400,401,2025-05-27T22:43:46.289450
16126,-0.6085,0.7232,0.3904,-13.125,-40.040,-8.785,392,416,379,405,400,2025-05-27T22:43:46.289450
16127,-0.5817,0.7193,0.3860,-12.460,-42.105,-8.085,378,347,365,347,405,2025-05-27T22:43:46.289450
16128,-0.5822,0.7100,0.4099,-11.305,-45.360,-7.770,402,422,386,409,387,2025-05-27T22:43:46.295103
16129,-0.5905,0.7096,0.4265,-10.815,-48.545,-8.470,412,383,373,401,401,2025-05-27T22:43:46.295103
16130,-0.5749,0.6964,0.4226,-10.745,-49.070,-8.330,397,405,383,406,411,2025-05-27T22:43:46.295103
16131,-0.5632,0.6832,0.4070,-9.835,-46.060,-8.155,390,350,372,352,367,2025-05-27T22:43:46.295425
16132,-0.5573,0.6842,0.4036,-8.155,-40.390,-7.315,419,333,370,388,398,2025-05-27T22:43:46.295425
16133,-0.5690,0.6871,0.4070,-7.035,-35.455,-6.510,409,409,383,387,409,2025-05-27T22:43:46.295425
16134,-0.5802,0.6944,0.4211,-6.510,-32.935,-5.880,406,424,389,413,406,2025-05-27T22:43:46.295425
16135,-0.5866,0.7013,0.4426,-6.300,-32.760,-5.320,424,381,391,420,400,2025-05-27T22:43:46.295897
16136,-0.5915,0.6998,0.4431,-6.440,-34.440,-5.145,395,422,384,411,388,2025-05-27T22:43:46.296372
16137,-0.5812,0.6988,0.4392,-5.950,-36.470,-5.110,394,405,383,420,391,2025-05-27T22:43:46.296372
16138,-0.5641,0.6993,0.4431,-5.285,-35.770,-4.935,401,418,346,424,359,2025-05-27T22:43:46.296614
16139,-0.5510,0.6993,0.4465,-5.110,-32.130,-4.305,408,378,356,373,368,2025-05-27T22:43:46.296614
16140,-0.5510,0.6998,0.4499,-4.620,-27.125,-3.675,420,407,368,389,384,2025-05-27T22:43:46.296614
