SeqNum,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Flex,Force1,Force2,Force3,Force4,TimestampReception
19917,-0.4934,0.7867,0.1313,0.665,0.840,6.860,414,424,383,388,384,2025-05-27T22:44:43.791059
19918,-0.3094,0.6564,0.1610,-10.815,-3.185,37.205,455,429,254,412,349,2025-05-27T22:44:43.791059
19919,-0.3304,0.6808,0.1781,-11.655,1.435,33.845,420,411,322,426,396,2025-05-27T22:44:43.791059
19920,-0.3792,0.6969,0.2020,-11.585,0.980,30.765,399,397,346,373,386,2025-05-27T22:44:43.791604
19921,-0.4104,0.7183,0.2377,-11.760,-3.920,28.210,415,396,337,383,395,2025-05-27T22:44:43.791604
19922,-0.4148,0.7422,0.2552,-12.320,-10.640,26.460,415,412,359,397,402,2025-05-27T22:44:43.791604
19923,-0.3909,0.7725,0.2596,-12.775,-15.820,25.200,404,435,364,388,392,2025-05-27T22:44:43.791604
19924,-0.3553,0.8023,0.2616,-13.265,-17.360,23.765,374,363,370,411,405,2025-05-27T22:44:43.791604
19925,-0.3333,0.8345,0.2625,-13.650,-16.310,22.750,386,409,366,415,393,2025-05-27T22:44:43.791604
19926,-0.3206,0.8638,0.2630,-14.070,-13.790,22.470,392,414,375,345,396,2025-05-27T22:44:43.791604
19927,-0.3309,0.8843,0.2664,-14.525,-10.850,22.225,415,403,335,364,409,2025-05-27T22:44:43.791604
19928,-0.3401,0.8999,0.2679,-14.875,-8.855,22.015,427,393,364,391,405,2025-05-27T22:44:43.791604
19929,-0.3504,0.9111,0.2689,-14.875,-8.855,22.085,406,405,371,394,396,2025-05-27T22:44:43.791604
19930,-0.3489,0.9106,0.2640,-14.735,-10.150,22.855,424,431,382,414,418,2025-05-27T22:44:43.791604
19931,-0.3479,0.9048,0.2523,-14.140,-11.865,24.675,416,431,387,417,407,2025-05-27T22:44:43.791604
19932,-0.3543,0.8945,0.2430,-13.825,-14.175,25.865,404,381,386,423,398,2025-05-27T22:44:43.791604
19933,-0.3572,0.8833,0.2318,-14.385,-16.975,26.845,361,424,393,418,355,2025-05-27T22:44:43.791604
19934,-0.3567,0.8623,0.2098,-15.085,-19.530,27.825,405,420,359,413,379,2025-05-27T22:44:43.791604
19935,-0.3533,0.8330,0.1864,-15.330,-21.735,28.315,405,402,380,357,372,2025-05-27T22:44:43.791604
19936,-0.3372,0.8198,0.1669,-15.225,-22.050,28.175,341,406,351,376,399,2025-05-27T22:44:43.791604
19937,-0.3216,0.8218,0.1518,-15.855,-19.915,27.720,406,406,370,408,369,2025-05-27T22:44:43.809449
19938,-0.3006,0.8223,0.1464,-16.380,-15.960,26.670,408,378,379,394,408,2025-05-27T22:44:43.809449
19939,-0.3123,0.8228,0.1327,-16.800,-12.705,24.920,348,292,379,392,390,2025-05-27T22:44:43.809449
19940,-0.3133,0.8374,0.1322,-16.555,-9.275,23.520,407,400,389,403,395,2025-05-27T22:44:43.809449
19941,-0.3196,0.8481,0.1371,-16.100,-6.755,22.085,412,393,391,397,400,2025-05-27T22:44:43.823244
19942,-0.3348,0.8550,0.1508,-15.400,-6.125,20.860,429,417,349,407,393,2025-05-27T22:44:43.823244
19943,-0.3411,0.8657,0.1703,-14.525,-7.105,19.390,401,400,363,387,382,2025-05-27T22:44:43.823669
19944,-0.3416,0.8740,0.1957,-14.070,-8.050,17.780,407,413,371,389,396,2025-05-27T22:44:43.823669
19945,-0.3465,0.8755,0.2084,-13.195,-9.205,17.045,400,378,383,344,365,2025-05-27T22:44:43.823669
19946,-0.3343,0.8730,0.2133,-11.655,-11.515,17.010,419,407,378,372,337,2025-05-27T22:44:43.823669
19947,-0.3192,0.8677,0.2167,-9.975,-12.040,16.800,419,415,382,396,338,2025-05-27T22:44:43.823669
19948,-0.3060,0.8725,0.2259,-8.330,-10.325,16.345,423,408,376,412,384,2025-05-27T22:44:43.823669
19949,-0.2962,0.8750,0.2303,-7.175,-8.540,16.030,419,424,389,397,396,2025-05-27T22:44:43.823669
19950,-0.3070,0.8721,0.2367,-6.265,-7.840,16.170,425,420,381,390,407,2025-05-27T22:44:43.824341
19951,-0.3201,0.8657,0.2479,-4.865,-8.610,16.625,407,425,376,415,391,2025-05-27T22:44:43.824341
19952,-0.3231,0.8633,0.2547,-3.535,-10.640,16.625,414,421,383,405,389,2025-05-27T22:44:43.824341
19953,-0.3211,0.8638,0.2552,-2.940,-11.795,16.695,419,406,342,415,396,2025-05-27T22:44:43.824341
19954,-0.3060,0.8652,0.2572,-2.555,-12.145,17.290,427,416,336,417,407,2025-05-27T22:44:43.824341
19955,-0.2933,0.8647,0.2508,-2.415,-12.250,17.570,422,404,323,395,349,2025-05-27T22:44:43.824341
19956,-0.2772,0.8618,0.2464,-2.065,-11.865,17.325,415,395,351,406,333,2025-05-27T22:44:43.824341
19957,-0.2596,0.8574,0.2425,-1.610,-10.815,16.800,374,401,369,421,382,2025-05-27T22:44:44.122787
19958,-0.2425,0.8682,0.2406,-1.365,-9.135,16.100,408,343,369,405,383,2025-05-27T22:44:44.122787
19959,-0.2216,0.8769,0.2420,-1.995,-5.985,15.470,383,402,379,397,393,2025-05-27T22:44:44.122787
19960,-0.2191,0.8847,0.2420,-3.150,-2.310,14.280,380,419,367,400,394,2025-05-27T22:44:44.122787
19961,-0.2255,0.8818,0.2450,-4.095,-0.630,12.670,413,429,361,403,397,2025-05-27T22:44:44.122787
19962,-0.2425,0.8877,0.2518,-4.550,-1.470,11.270,423,402,343,400,352,2025-05-27T22:44:44.122787
19963,-0.2533,0.8843,0.2523,-5.075,-3.745,9.870,397,416,371,407,387,2025-05-27T22:44:44.123551
19964,-0.2669,0.8769,0.2523,-4.620,-8.295,9.100,388,395,372,419,409,2025-05-27T22:44:44.123551
19965,-0.2562,0.8745,0.2469,-3.430,-12.565,8.190,405,418,352,367,385,2025-05-27T22:44:44.123551
19966,-0.2367,0.8608,0.2372,-1.995,-13.860,7.735,422,417,356,390,399,2025-05-27T22:44:44.123551
19967,-0.2201,0.8525,0.2303,-0.455,-11.620,7.140,406,427,365,402,408,2025-05-27T22:44:44.123551
19968,-0.2113,0.8496,0.2284,1.505,-8.505,5.950,383,422,375,395,406,2025-05-27T22:44:44.123551
19969,-0.2050,0.8496,0.2255,3.185,-3.325,4.865,389,402,306,387,385,2025-05-27T22:44:44.123551
19970,-0.2118,0.8525,0.2240,4.900,1.890,3.465,389,418,349,405,394,2025-05-27T22:44:44.123551
19971,-0.2328,0.8594,0.2245,6.440,5.075,2.205,371,343,370,419,382,2025-05-27T22:44:44.276021
19972,-0.2586,0.8599,0.2269,7.875,5.250,1.015,413,404,342,416,345,2025-05-27T22:44:44.276021
19973,-0.2738,0.8686,0.2342,9.415,4.200,0.245,414,422,325,398,371,2025-05-27T22:44:44.276021
19974,-0.2786,0.8862,0.2396,10.465,2.905,-0.420,388,385,346,414,352,2025-05-27T22:44:44.276021
19975,-0.2757,0.8896,0.2411,10.675,2.695,-1.470,400,401,358,383,386,2025-05-27T22:44:44.276021
19976,-0.2684,0.9082,0.2445,10.640,3.500,-2.415,346,412,344,398,410,2025-05-27T22:44:44.276021
19977,-0.2689,0.9218,0.2513,10.045,4.725,-3.395,397,415,362,415,411,2025-05-27T22:44:44.276021
19978,-0.2786,0.9404,0.2586,8.260,5.740,-4.235,394,416,370,393,402,2025-05-27T22:44:44.276021
19979,-0.2830,0.9540,0.2577,5.740,5.810,-4.795,418,401,374,416,410,2025-05-27T22:44:44.276021
19980,-0.2845,0.9521,0.2508,3.815,4.725,-5.600,414,425,368,406,397,2025-05-27T22:44:44.276021
19981,-0.2889,0.9643,0.2528,2.240,2.765,-5.985,401,435,377,407,392,2025-05-27T22:44:44.276021
19982,-0.2865,0.9780,0.2586,0.840,0.455,-6.230,410,430,382,379,387,2025-05-27T22:44:44.276021
19983,-0.2796,0.9804,0.2567,-0.840,-1.470,-6.055,389,424,377,395,401,2025-05-27T22:44:44.276021
19984,-0.2865,0.9789,0.2572,-1.855,-3.570,-5.810,397,412,343,398,411,2025-05-27T22:44:44.276021
19985,-0.2865,0.9784,0.2567,-2.415,-5.390,-5.390,403,411,369,403,405,2025-05-27T22:44:44.276021
19986,-0.2782,0.9687,0.2469,-2.590,-6.195,-4.935,339,414,385,407,393,2025-05-27T22:44:44.276021
19987,-0.2845,0.9575,0.2430,-2.415,-5.355,-4.305,378,408,376,348,361,2025-05-27T22:44:44.276021
19988,-0.2918,0.9389,0.2357,-1.610,-4.445,-3.360,378,410,338,383,372,2025-05-27T22:44:44.276021
19989,-0.2972,0.9267,0.2435,-1.085,-3.395,-2.590,412,422,370,365,374,2025-05-27T22:44:44.276021
19990,-0.3045,0.9140,0.2460,-0.770,-1.750,-1.505,403,393,383,389,400,2025-05-27T22:44:44.276021
19991,-0.3109,0.8994,0.2430,-0.420,-0.910,-0.385,429,397,371,414,356,2025-05-27T22:44:44.509524
19992,-0.3196,0.8916,0.2494,-0.140,-1.400,0.525,377,343,378,351,373,2025-05-27T22:44:44.523004
19993,-0.3226,0.8740,0.2464,0.140,-2.450,1.330,331,391,370,387,375,2025-05-27T22:44:44.523651
19994,-0.3206,0.8603,0.2416,0.980,-3.920,1.785,387,399,369,406,382,2025-05-27T22:44:44.524118
19995,-0.3079,0.8540,0.2381,2.205,-4.550,1.750,373,395,365,401,385,2025-05-27T22:44:44.524118
19996,-0.2957,0.8477,0.2347,3.430,-3.815,1.645,412,301,368,354,359,2025-05-27T22:44:44.524118
19997,-0.2821,0.8428,0.2323,4.760,-1.995,1.155,386,405,368,398,396,2025-05-27T22:44:44.524118
19998,-0.2821,0.8433,0.2396,6.545,-0.280,0.245,348,418,381,384,414,2025-05-27T22:44:44.524118
19999,-0.2826,0.8491,0.2455,7.735,1.960,-1.050,408,364,390,385,402,2025-05-27T22:44:44.524118
20000,-0.2967,0.8569,0.2547,8.645,3.185,-2.625,416,369,379,336,406,2025-05-27T22:44:44.524118
20001,-0.3128,0.8594,0.2596,9.240,1.260,-4.095,425,406,394,329,402,2025-05-27T22:44:44.524118
20002,-0.3157,0.8623,0.2577,10.185,-1.365,-5.495,435,409,389,367,404,2025-05-27T22:44:44.524118
20003,-0.3211,0.8667,0.2572,11.095,-4.480,-6.860,389,403,387,394,360,2025-05-27T22:44:44.524118
20004,-0.3084,0.8730,0.2533,11.935,-7.210,-7.735,388,364,389,402,363,2025-05-27T22:44:44.524118
20005,-0.2957,0.8784,0.2386,12.950,-8.785,-8.470,408,407,386,417,384,2025-05-27T22:44:44.524118
20006,-0.2782,0.8867,0.2255,13.615,-7.175,-9.135,419,408,347,353,377,2025-05-27T22:44:44.524118
20007,-0.2645,0.8999,0.2147,13.965,-3.850,-10.080,367,407,364,377,383,2025-05-27T22:44:44.525795
20008,-0.2713,0.9145,0.2045,13.720,-0.980,-11.165,395,396,363,373,397,2025-05-27T22:44:44.525795
20009,-0.2728,0.9243,0.1947,13.265,1.365,-11.690,385,404,367,393,385,2025-05-27T22:44:44.525795
20010,-0.2689,0.9389,0.1850,12.845,4.375,-12.040,411,399,380,407,405,2025-05-27T22:44:44.525795
