SeqNum,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Flex,Force1,Force2,Force3,Force4,TimestampReception
11942,-0.3611,0.8667,0.2821,-1.190,-0.490,3.080,450,423,297,392,345,2025-05-27T22:42:27.639767
11943,-0.3509,0.8755,0.2747,1.190,2.135,1.785,419,437,270,350,372,2025-05-27T22:42:27.639767
11944,-0.3650,0.8794,0.2747,1.225,3.360,1.540,396,421,332,375,383,2025-05-27T22:42:27.639767
11945,-0.3719,0.8857,0.2757,1.225,2.940,1.155,413,407,357,391,404,2025-05-27T22:42:27.639767
11946,-0.3743,0.8891,0.2806,0.805,2.030,0.840,407,432,348,412,406,2025-05-27T22:42:27.639767
11947,-0.3762,0.8882,0.2821,0.420,1.155,0.665,379,408,341,392,396,2025-05-27T22:42:27.639767
11948,-0.3811,0.8906,0.2830,0.315,-0.280,0.770,394,407,366,423,408,2025-05-27T22:42:27.639767
11949,-0.3777,0.8960,0.2835,0.175,-1.890,0.875,417,394,336,413,410,2025-05-27T22:42:27.639767
11950,-0.3728,0.8974,0.2835,-0.140,-2.170,0.910,421,415,363,404,412,2025-05-27T22:42:27.639767
11951,-0.3714,0.8994,0.2806,-0.315,-2.100,1.120,307,342,365,411,408,2025-05-27T22:42:27.639767
11952,-0.3675,0.9033,0.2791,-0.630,-2.275,1.645,335,384,369,399,348,2025-05-27T22:42:27.639767
11953,-0.3699,0.9013,0.2811,-0.560,-2.135,2.030,346,353,377,395,329,2025-05-27T22:42:27.639767
11954,-0.3699,0.9048,0.2796,-0.805,-2.030,2.555,391,410,308,391,371,2025-05-27T22:42:27.639767
11955,-0.3689,0.9038,0.2747,-0.910,-2.380,3.115,401,426,305,395,381,2025-05-27T22:42:27.639767
11956,-0.3689,0.9023,0.2704,-0.910,-2.205,3.255,416,401,356,351,374,2025-05-27T22:42:27.639767
11957,-0.3684,0.8989,0.2718,-1.015,-1.680,3.500,397,427,358,374,359,2025-05-27T22:42:27.815909
11958,-0.3650,0.8965,0.2699,-1.470,-1.470,3.640,400,359,367,385,396,2025-05-27T22:42:27.815909
11959,-0.3738,0.8921,0.2728,-1.435,-1.715,3.885,413,402,338,409,404,2025-05-27T22:42:27.815909
11960,-0.3767,0.8872,0.2733,-1.260,-2.170,3.920,430,383,366,402,395,2025-05-27T22:42:27.815909
11961,-0.3738,0.8833,0.2743,-1.120,-3.045,3.885,420,396,338,414,402,2025-05-27T22:42:27.815909
11962,-0.3680,0.8813,0.2718,-1.085,-3.255,3.885,306,406,324,366,351,2025-05-27T22:42:27.815909
11963,-0.3640,0.8813,0.2752,-1.120,-2.765,3.815,393,403,351,391,378,2025-05-27T22:42:27.815909
11964,-0.3587,0.8799,0.2777,-1.295,-2.520,3.850,423,392,374,412,345,2025-05-27T22:42:27.815909
11965,-0.3606,0.8774,0.2777,-1.540,-2.205,3.850,408,420,386,398,336,2025-05-27T22:42:27.815909
11966,-0.3567,0.8789,0.2777,-1.470,-2.275,3.675,393,430,391,392,328,2025-05-27T22:42:27.815909
11967,-0.3582,0.8799,0.2767,-1.295,-2.485,3.185,422,438,391,402,365,2025-05-27T22:42:27.815909
11968,-0.3562,0.8789,0.2767,-1.260,-2.415,2.730,400,382,384,309,358,2025-05-27T22:42:27.815909
11969,-0.3518,0.8833,0.2733,-1.120,-1.925,2.450,300,407,379,360,386,2025-05-27T22:42:27.815909
11970,-0.3538,0.8838,0.2772,-0.840,-1.190,2.205,386,418,394,407,398,2025-05-27T22:42:27.815909
11971,-0.3597,0.8847,0.2806,-1.120,-1.015,2.030,409,411,384,353,407,2025-05-27T22:42:27.815909
11972,-0.3660,0.8833,0.2791,-1.295,-1.890,2.065,336,354,345,386,353,2025-05-27T22:42:27.815909
11973,-0.3699,0.8847,0.2806,-1.365,-3.220,2.135,380,355,372,413,377,2025-05-27T22:42:27.815909
11974,-0.3611,0.8843,0.2777,-1.295,-4.095,2.240,397,382,385,346,400,2025-05-27T22:42:27.818064
11975,-0.3597,0.8852,0.2777,-1.120,-4.865,2.345,356,396,384,391,402,2025-05-27T22:42:27.818064
11976,-0.3514,0.8872,0.2772,-0.945,-4.550,2.310,413,402,386,402,352,2025-05-27T22:42:28.003384
11977,-0.3499,0.8867,0.2777,-1.085,-3.640,2.275,429,418,393,348,371,2025-05-27T22:42:28.003384
11978,-0.3548,0.8872,0.2801,-1.050,-3.115,2.275,424,389,388,386,393,2025-05-27T22:42:28.003384
11979,-0.3528,0.8867,0.2757,-1.050,-3.045,2.275,423,407,381,388,395,2025-05-27T22:42:28.003384
11980,-0.3533,0.8857,0.2782,-0.840,-3.010,2.275,423,428,310,389,401,2025-05-27T22:42:28.003384
11981,-0.3523,0.8891,0.2782,-0.945,-2.870,2.205,391,425,355,404,369,2025-05-27T22:42:28.003384
11982,-0.3509,0.8901,0.2796,-1.260,-2.730,2.310,412,403,367,389,376,2025-05-27T22:42:28.003384
11983,-0.3567,0.8867,0.2782,-1.435,-2.695,2.275,353,391,381,386,380,2025-05-27T22:42:28.003384
11984,-0.3577,0.8867,0.2772,-1.540,-2.975,2.205,411,401,379,388,340,2025-05-27T22:42:28.003384
11985,-0.3533,0.8877,0.2811,-1.855,-3.185,2.310,408,420,356,355,365,2025-05-27T22:42:28.003384
11986,-0.3577,0.8847,0.2811,-2.205,-3.010,2.310,425,419,370,396,401,2025-05-27T22:42:28.003384
11987,-0.3528,0.8843,0.2830,-2.345,-3.255,2.205,412,401,379,418,411,2025-05-27T22:42:28.003384
11988,-0.3494,0.8838,0.2840,-2.555,-3.325,2.240,431,399,382,398,397,2025-05-27T22:42:28.003384
11989,-0.3484,0.8818,0.2860,-2.625,-3.045,2.100,418,361,385,389,405,2025-05-27T22:42:28.003384
11990,-0.3484,0.8799,0.2889,-2.555,-2.730,1.820,430,390,361,398,355,2025-05-27T22:42:28.003384
11991,-0.3440,0.8794,0.2933,-2.450,-2.800,1.435,395,412,333,403,367,2025-05-27T22:42:28.140655
11992,-0.3445,0.8774,0.2908,-2.170,-2.940,1.260,414,414,359,344,394,2025-05-27T22:42:28.140655
11993,-0.3431,0.8725,0.2904,-1.400,-3.290,0.980,349,422,373,386,399,2025-05-27T22:42:28.140655
11994,-0.3421,0.8725,0.2918,-0.805,-3.500,0.560,392,307,379,401,404,2025-05-27T22:42:28.140655
11995,-0.3406,0.8740,0.2908,-0.525,-3.220,0.525,341,392,309,385,404,2025-05-27T22:42:28.140655
11996,-0.3431,0.8716,0.2869,-0.175,-2.660,0.385,399,413,342,409,398,2025-05-27T22:42:28.141650
11997,-0.3445,0.8730,0.2904,0.280,-2.170,0.210,352,431,367,397,403,2025-05-27T22:42:28.141650
