SeqNum,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Flex,Force1,Force2,Force3,Force4,TimestampReception
12650,-0.7149,-0.6432,0.3660,0.735,-7.245,0.280,1,1,1,336,323,2025-06-05T16:10:09.309505
12651,-0.2377,-0.9589,0.3567,5.810,11.445,-3.465,1,1,1,345,289,2025-06-05T16:10:09.309505
12652,-0.2386,-0.9579,0.3514,5.390,11.970,-3.325,1,1,2,370,306,2025-06-05T16:10:09.309505
12653,-0.2474,-0.9550,0.3460,4.690,11.620,-2.835,2,2,1,374,351,2025-06-05T16:10:09.309505
12654,-0.2582,-0.9550,0.3455,4.130,10.430,-2.240,2,2,1,393,332,2025-06-05T16:10:09.309505
12655,-0.2757,-0.9467,0.3440,3.815,6.860,-1.330,1,1,1,377,368,2025-06-05T16:10:09.309505
12656,-0.2718,-0.9506,0.3362,3.500,3.115,-0.140,1,1,1,372,382,2025-06-05T16:10:09.309505
12657,-0.2801,-0.9511,0.3406,3.465,-2.345,0.595,1,2,1,389,389,2025-06-05T16:10:09.309505
12658,-0.2669,-0.9511,0.3411,3.395,-6.055,1.225,1,1,1,396,395,2025-06-05T16:10:09.309505
12659,-0.2416,-0.9492,0.3392,3.080,-8.190,1.575,1,1,1,400,387,2025-06-05T16:10:09.309505
12660,-0.2333,-0.9526,0.3431,2.520,-8.680,1.610,1,1,1,396,386,2025-06-05T16:10:09.309505
12661,-0.2294,-0.9575,0.3421,1.995,-8.470,1.575,1,1,0,350,383,2025-06-05T16:10:09.310268
12662,-0.2284,-0.9643,0.3392,1.400,-8.575,1.470,1,1,1,373,373,2025-06-05T16:10:09.310268
12663,-0.2333,-0.9736,0.3406,0.980,-9.590,1.190,1,2,1,370,377,2025-06-05T16:10:09.310268
12664,-0.2338,-0.9755,0.3470,0.595,-10.570,0.770,1,1,2,385,384,2025-06-05T16:10:09.310268
12665,-0.2303,-0.9711,0.3538,0.175,-12.425,0.665,1,1,1,391,394,2025-06-05T16:10:09.310268
12666,-0.2255,-0.9701,0.3577,0.070,-13.965,0.595,1,1,1,395,397,2025-06-05T16:10:09.310268
12667,-0.2172,-0.9672,0.3553,-0.280,-15.050,0.630,1,2,1,398,402,2025-06-05T16:10:09.583607
12668,-0.2040,-0.9623,0.3523,-0.350,-15.295,0.630,2,1,2,401,396,2025-06-05T16:10:09.583607
12669,-0.1923,-0.9555,0.3479,-0.910,-14.630,0.770,2,1,1,396,386,2025-06-05T16:10:09.583607
12670,-0.1903,-0.9492,0.3396,-1.435,-13.615,0.910,1,1,1,396,363,2025-06-05T16:10:09.583607
12671,-0.1928,-0.9492,0.3338,-1.995,-13.475,1.015,2,2,1,397,379,2025-06-05T16:10:09.583607
12672,-0.1976,-0.9492,0.3353,-2.555,-13.650,0.770,2,2,1,386,347,2025-06-05T16:10:09.583607
12673,-0.1947,-0.9501,0.3416,-2.835,-13.825,0.385,1,1,1,380,330,2025-06-05T16:10:09.583607
12674,-0.1952,-0.9545,0.3416,-2.905,-14.140,-0.595,1,1,1,353,352,2025-06-05T16:10:09.583607
12675,-0.1913,-0.9599,0.3470,-2.765,-13.370,-1.435,2,1,1,377,364,2025-06-05T16:10:09.583607
12676,-0.1850,-0.9594,0.3494,-2.800,-11.585,-2.765,1,1,1,383,373,2025-06-05T16:10:09.583607
12677,-0.1825,-0.9648,0.3523,-2.765,-9.310,-3.745,2,1,1,345,379,2025-06-05T16:10:09.583607
12678,-0.1952,-0.9653,0.3523,-2.835,-7.490,-4.165,1,1,1,375,375,2025-06-05T16:10:09.583607
12679,-0.2064,-0.9706,0.3504,-2.905,-7.000,-3.920,2,1,1,380,389,2025-06-05T16:10:09.583607
