SeqNum,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Flex,Force1,Force2,Force3,Force4,TimestampReception
1,-0.5934,0.0859,0.8164,0.490,-7.910,0.490,1,1,1,338,333,2025-06-05T16:06:22.489789
2,-0.4304,-0.0996,0.7349,3.010,-18.690,62.755,1,2,2,346,333,2025-06-05T16:06:22.489789
3,-0.2054,-0.0122,0.8106,1.190,0.945,56.910,2,1,2,378,371,2025-06-05T16:06:22.490284
4,-0.3289,0.0073,0.8633,3.885,10.710,50.785,2,1,2,380,389,2025-06-05T16:06:22.490284
5,-0.4460,0.0395,0.9453,6.230,17.430,45.395,1,2,2,386,399,2025-06-05T16:06:22.490284
6,-0.5031,0.0200,0.9658,6.790,18.095,39.585,1,1,1,382,354,2025-06-05T16:06:22.490284
7,-0.5129,0.0498,0.8496,7.105,12.880,33.670,1,2,2,389,376,2025-06-05T16:06:22.490284
8,-0.3997,0.0698,0.7964,4.970,9.520,26.460,2,1,1,399,385,2025-06-05T16:06:22.490284
9,-0.3787,0.0683,0.8276,2.485,14.000,18.515,1,1,1,397,381,2025-06-05T16:06:22.490284
10,-0.4392,0.0791,0.8877,-0.105,19.040,13.685,1,1,2,385,371,2025-06-05T16:06:22.490284
11,-0.5329,0.0698,0.9370,0.910,13.510,8.785,1,1,1,389,374,2025-06-05T16:06:22.766749
12,-0.4797,0.0586,0.8252,0.175,13.055,3.045,2,1,2,395,389,2025-06-05T16:06:22.766749
13,-0.4900,0.0386,0.7584,-5.565,19.320,-2.765,2,1,2,395,395,2025-06-05T16:06:22.766749
14,-0.4948,0.0273,0.7452,-8.610,22.190,-7.665,1,1,2,392,357,2025-06-05T16:06:22.766749
15,-0.5793,0.0425,0.8150,-10.115,27.860,-9.940,1,1,1,388,336,2025-06-05T16:06:22.766749
16,-0.6808,0.0386,0.9589,-5.985,30.520,-10.885,2,2,1,378,366,2025-06-05T16:06:22.766749
17,-0.7271,0.0556,0.9867,4.130,27.440,-8.505,1,1,2,396,346,2025-06-05T16:06:22.766749
18,-0.7637,0.0903,0.8320,9.310,19.530,-9.485,1,1,1,392,362,2025-06-05T16:06:22.766749
19,-0.6891,0.0937,0.6271,9.135,19.355,-12.670,0,1,1,394,382,2025-06-05T16:06:22.766749
20,-0.6720,0.0815,0.5949,4.235,28.910,-13.580,2,1,1,404,349,2025-06-05T16:06:22.766749
21,-0.7476,0.0190,0.6671,5.845,36.050,-12.775,2,1,1,394,335,2025-06-05T16:06:22.766749
